sequence,specialty,procedureNameEn,procedureNameAr,canonicalProcedureKey,aliases,anatomyRegion,illustrationType,figureLabsPrompt,imageFileName,imagePublicPath,certificatePath,imageReviewStatus,patientFacing,source,version,disclaimerEn,disclaimerAr,notes
121,Gastroenterology / Hepatobiliary Surgery,Gastrostomy Insertion,إدخال أنبوب تغذية معدي,gastrostomy-insertion,Gastrostomy Insertion | إدخال أنبوب تغذية معدي,Stomach and abdominal wall with feeding tube,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Gastrostomy Insertion
Procedure (Arabic): إدخال أنبوب تغذية معدي
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Stomach and abdominal wall with feeding tube
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",gastrostomy-insertion_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/gastrostomy-insertion/gastrostomy-insertion_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/gastrostomy-insertion/gastrostomy-insertion_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
122,Radiology / Interventional Radiology,Generic Medical Imaging Consent,Generic Medical Imaging Consent,generic-medical-imaging-consent,Generic Medical Imaging Consent | Generic Medical Imaging Consent,Imaging equipment and relevant body region,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Generic Medical Imaging Consent
Procedure (Arabic): Generic Medical Imaging Consent
Specialty: Radiology / Interventional Radiology
Anatomical region / focus: Imaging equipment and relevant body region
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",generic-medical-imaging-consent_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/radiology/generic-medical-imaging-consent/generic-medical-imaging-consent_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/generic-medical-imaging-consent/generic-medical-imaging-consent_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
123,General Surgery / Other,Haemorrhoid Removal,إزالة البواسير,haemorrhoid-removal,Haemorrhoid Removal | إزالة البواسير,Anal canal and haemorrhoidal cushions,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Haemorrhoid Removal
Procedure (Arabic): إزالة البواسير
Specialty: General Surgery / Other
Anatomical region / focus: Anal canal and haemorrhoidal cushions
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",haemorrhoid-removal_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/haemorrhoid-removal/haemorrhoid-removal_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/haemorrhoid-removal/haemorrhoid-removal_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
124,General Surgery / Other,Haemorrhoid - Stapled,Haemorrhoid - Stapled,haemorrhoid-stapled,Haemorrhoid - Stapled | Haemorrhoid - Stapled,Anal canal and haemorrhoidal cushions,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Haemorrhoid - Stapled
Procedure (Arabic): Haemorrhoid - Stapled
Specialty: General Surgery / Other
Anatomical region / focus: Anal canal and haemorrhoidal cushions
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",haemorrhoid-stapled_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/haemorrhoid-stapled/haemorrhoid-stapled_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/haemorrhoid-stapled/haemorrhoid-stapled_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
125,General Surgery / Other,Hernia - Inguinal Repair (Child-Young Person),Hernia - Inguinal Repair (Child-Young Person),hernia-inguinal-repair-child-young-person,Hernia - Inguinal Repair (Child-Young Person) | Hernia - Inguinal Repair (Child-Young Person),Abdominal wall and hernia sac at affected site,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Hernia - Inguinal Repair (Child-Young Person)
Procedure (Arabic): Hernia - Inguinal Repair (Child-Young Person)
Specialty: General Surgery / Other
Anatomical region / focus: Abdominal wall and hernia sac at affected site
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",hernia-inguinal-repair-child-young-person_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/hernia-inguinal-repair-child-young-person/hernia-inguinal-repair-child-young-person_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/hernia-inguinal-repair-child-young-person/hernia-inguinal-repair-child-young-person_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
126,General Surgery / Other,Hernia - Laparoscopic Inguinal Hernia Repair,ترتيب الفتق الإربي بالمنظار,hernia-laparoscopic-inguinal-hernia-repair,Hernia - Laparoscopic Inguinal Hernia Repair | ترتيب الفتق الإربي بالمنظار,Abdominal wall and groin region with laparoscopic ports,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Hernia - Laparoscopic Inguinal Hernia Repair
Procedure (Arabic): ترتيب الفتق الإربي بالمنظار
Specialty: General Surgery / Other
Anatomical region / focus: Abdominal wall and groin region with laparoscopic ports
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",hernia-laparoscopic-inguinal-hernia-repair_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/hernia-laparoscopic-inguinal-hernia-repair/hernia-laparoscopic-inguinal-hernia-repair_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/hernia-laparoscopic-inguinal-hernia-repair/hernia-laparoscopic-inguinal-hernia-repair_figurelabs_authorization_certificate_v1.pdf,approved,true,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Image integrated from FigureLabs separated package; authorization certificate pending.
127,General Surgery / Other,Hernia - Open Inguinal Hernia Repair,ترتيب الفتق الإربي بالجراحة المفتوحة,hernia-open-inguinal-hernia-repair,Hernia - Open Inguinal Hernia Repair | ترتيب الفتق الإربي بالجراحة المفتوحة,Abdominal wall and groin region,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Hernia - Open Inguinal Hernia Repair
Procedure (Arabic): ترتيب الفتق الإربي بالجراحة المفتوحة
Specialty: General Surgery / Other
Anatomical region / focus: Abdominal wall and groin region
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",hernia-open-inguinal-hernia-repair_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/hernia-open-inguinal-hernia-repair/hernia-open-inguinal-hernia-repair_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/hernia-open-inguinal-hernia-repair/hernia-open-inguinal-hernia-repair_figurelabs_authorization_certificate_v1.pdf,approved,true,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Image integrated from FigureLabs separated package; authorization certificate pending.
128,General Surgery / Other,Hernia - Ventral Incision Umbilical,ترتيب الفتق البطني/السري/الجراحي,hernia-ventral-incision-umbilical,Hernia - Ventral Incision Umbilical | ترتيب الفتق البطني/السري/الجراحي,Abdominal wall and hernia sac at affected site,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Hernia - Ventral Incision Umbilical
Procedure (Arabic): ترتيب الفتق البطني/السري/الجراحي
Specialty: General Surgery / Other
Anatomical region / focus: Abdominal wall and hernia sac at affected site
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",hernia-ventral-incision-umbilical_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/hernia-ventral-incision-umbilical/hernia-ventral-incision-umbilical_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/hernia-ventral-incision-umbilical/hernia-ventral-incision-umbilical_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
129,Anesthesia / Pain / Critical Care,Home Sleep Study Consent,Home Sleep Study Consent,home-sleep-study-consent,Home Sleep Study Consent | Home Sleep Study Consent,Sleep monitoring sensors and breathing,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Home Sleep Study Consent
Procedure (Arabic): Home Sleep Study Consent
Specialty: Anesthesia / Pain / Critical Care
Anatomical region / focus: Sleep monitoring sensors and breathing
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",home-sleep-study-consent_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/anesthesia/home-sleep-study-consent/home-sleep-study-consent_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/home-sleep-study-consent/home-sleep-study-consent_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
130,Gastroenterology / Hepatobiliary Surgery,Hydatid Cyst of the Liver,كيسة مائية في الكبد,hydatid-cyst-of-the-liver,Hydatid Cyst of the Liver | كيسة مائية في الكبد,Liver and hydatid cyst,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Hydatid Cyst of the Liver
Procedure (Arabic): كيسة مائية في الكبد
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Liver and hydatid cyst
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",hydatid-cyst-of-the-liver_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/hydatid-cyst-of-the-liver/hydatid-cyst-of-the-liver_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/hydatid-cyst-of-the-liver/hydatid-cyst-of-the-liver_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
131,Urology,Hydrocele repair (Child-Young Person),علاج استسقاء الخصية للأطفال,hydrocele-repair-child-young-person,Hydrocele repair (Child-Young Person) | علاج استسقاء الخصية للأطفال,Scrotum and tunica vaginalis,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Hydrocele repair (Child-Young Person)
Procedure (Arabic): علاج استسقاء الخصية للأطفال
Specialty: Urology
Anatomical region / focus: Scrotum and tunica vaginalis
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",hydrocele-repair-child-young-person_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/urology/hydrocele-repair-child-young-person/hydrocele-repair-child-young-person_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/hydrocele-repair-child-young-person/hydrocele-repair-child-young-person_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
132,Obstetrics & Gynecology,Hysterosalpingogram (HSG),تصوير الرحم وقنوات فالوب,hysterosalpingogram-hsg,Hysterosalpingogram (HSG) | تصوير الرحم وقنوات فالوب,Uterus and fallopian tubes with contrast,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Hysterosalpingogram (HSG)
Procedure (Arabic): تصوير الرحم وقنوات فالوب
Specialty: Obstetrics & Gynecology
Anatomical region / focus: Uterus and fallopian tubes with contrast
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",hysterosalpingogram-hsg_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/obstetrics-gynecology/hysterosalpingogram-hsg/hysterosalpingogram-hsg_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/hysterosalpingogram-hsg/hysterosalpingogram-hsg_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
133,Obstetrics & Gynecology,Hysteroscopy and Curettage,تنظير الرحم مع الكشط,hysteroscopy-and-curettage,Hysteroscopy and Curettage | تنظير الرحم مع الكشط,Uterus and cervical canal,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Hysteroscopy and Curettage
Procedure (Arabic): تنظير الرحم مع الكشط
Specialty: Obstetrics & Gynecology
Anatomical region / focus: Uterus and cervical canal
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",hysteroscopy-and-curettage_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/obstetrics-gynecology/hysteroscopy-and-curettage/hysteroscopy-and-curettage_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/hysteroscopy-and-curettage/hysteroscopy-and-curettage_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
134,Ophthalmology,Informed Consent for Corneal Transplant Surgery,موافقة زرع القرنية,informed-consent-for-corneal-transplant-surgery,Informed Consent for Corneal Transplant Surgery | موافقة زرع القرنية,Cornea and eye surface,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Informed Consent for Corneal Transplant Surgery
Procedure (Arabic): موافقة زرع القرنية
Specialty: Ophthalmology
Anatomical region / focus: Cornea and eye surface
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",informed-consent-for-corneal-transplant-surgery_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ophthalmology/informed-consent-for-corneal-transplant-surgery/informed-consent-for-corneal-transplant-surgery_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/informed-consent-for-corneal-transplant-surgery/informed-consent-for-corneal-transplant-surgery_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
135,Anesthesia / Pain / Critical Care,Informed Consent for Pain Procedures,Informed Consent for Pain Procedures,informed-consent-for-pain-procedures,Informed Consent for Pain Procedures | Informed Consent for Pain Procedures,Target nerve or joint for pain intervention,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Informed Consent for Pain Procedures
Procedure (Arabic): Informed Consent for Pain Procedures
Specialty: Anesthesia / Pain / Critical Care
Anatomical region / focus: Target nerve or joint for pain intervention
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",informed-consent-for-pain-procedures_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/anesthesia/informed-consent-for-pain-procedures/informed-consent-for-pain-procedures_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/informed-consent-for-pain-procedures/informed-consent-for-pain-procedures_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
136,General Surgery / Other,Ingrown Toenail(s) & Removal of Nail Bed,ظفر القدم النامي وإزالة سرير الظفر,ingrown-toenail-s-removal-of-nail-bed,Ingrown Toenail(s) & Removal of Nail Bed | ظفر القدم النامي وإزالة سرير الظفر,Toenail and nail bed,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Ingrown Toenail(s) & Removal of Nail Bed
Procedure (Arabic): ظفر القدم النامي وإزالة سرير الظفر
Specialty: General Surgery / Other
Anatomical region / focus: Toenail and nail bed
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",ingrown-toenail-s-removal-of-nail-bed_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/ingrown-toenail-s-removal-of-nail-bed/ingrown-toenail-s-removal-of-nail-bed_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/ingrown-toenail-s-removal-of-nail-bed/ingrown-toenail-s-removal-of-nail-bed_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
137,Obstetrics & Gynecology,Insertion of Progesterone-Releasing Intrauterine Device,إدخال جهاز داخل الرحم ينتج البروجستيرون,insertion-of-progesterone-releasing-intrauterine-device,Insertion of Progesterone-Releasing Intrauterine Device | إدخال جهاز داخل الرحم ينتج البروجستيرون,Uterus and intrauterine device placement,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Insertion of Progesterone-Releasing Intrauterine Device
Procedure (Arabic): إدخال جهاز داخل الرحم ينتج البروجستيرون
Specialty: Obstetrics & Gynecology
Anatomical region / focus: Uterus and intrauterine device placement
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",insertion-of-progesterone-releasing-intrauterine-device_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/obstetrics-gynecology/insertion-of-progesterone-releasing-intrauterine-device/insertion-of-progesterone-releasing-intrauterine-device_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/insertion-of-progesterone-releasing-intrauterine-device/insertion-of-progesterone-releasing-intrauterine-device_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
